0,RootNode
1,Mesh_0
2,sh1model
3,0
4,Mesh_23
5,1
6,Mesh_10
7,14
8,Mesh_1
9,14_end
10,15
11,Mesh_5
12,16
13,Mesh_4
14,17
15,Mesh_3
16,18
17,Mesh_2
18,18_end
19,19
20,Mesh_9
21,20
22,Mesh_8
23,21
24,Mesh_7
25,22
26,Mesh_6
27,22_end
28,2
29,Mesh_22
30,3
31,Mesh_13
32,4
33,Mesh_12
34,5
35,Mesh_11
36,5_end
37,6
38,Mesh_17
39,7
40,Mesh_16
41,8
42,Mesh_15
43,9
44,Mesh_14
45,9_end
46,10
47,Mesh_21
48,11
49,Mesh_20
50,12
51,Mesh_19
52,13
53,Mesh_18
54,13_end

-87.133995,11.426077,11.075896,48.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-148.674164,2.314756,14.921933,48.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-86.918739,-2.090528,20.200317,48.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-148.674164,2.314756,14.921933,48.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-87.133995,11.426077,11.075896,48.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-142.205154,12.232290,9.843134,48.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-144.290161,8.163275,23.263113,48.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-91.024452,25.762569,23.089607,48.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-91.928345,7.007761,33.358009,48.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-91.024452,25.762569,23.089607,48.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-144.290161,8.163275,23.263113,48.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-139.807831,17.101797,17.876865,48.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-148.674164,2.314756,14.921933,48.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-91.928345,7.007761,33.358009,48.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-86.918739,-2.090528,20.200317,48.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-91.928345,7.007761,33.358009,48.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-148.674164,2.314756,14.921933,48.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-144.290161,8.163275,23.263113,48.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-91.024452,25.762569,23.089607,48.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-142.205154,12.232290,9.843134,48.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-87.133995,11.426077,11.075896,48.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-142.205154,12.232290,9.843134,48.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-91.024452,25.762569,23.089607,48.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-139.807831,17.101797,17.876865,48.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-95.311081,-70.258850,64.854080,39.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-44.658173,-36.036316,77.023651,39.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-38.721836,-44.597382,64.475029,39.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-44.658173,-36.036316,77.023651,39.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-95.311081,-70.258850,64.854080,39.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-93.861183,-60.512817,73.155449,39.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-55.253178,-22.138561,69.303680,39.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-94.498070,-60.876251,58.996975,39.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-47.968475,-35.271667,54.057224,39.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-94.498070,-60.876251,58.996975,39.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-55.253178,-22.138561,69.303680,39.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-94.349136,-52.940174,67.120796,39.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-47.968475,-35.271667,54.057224,39.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-95.311081,-70.258850,64.854080,39.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-38.721836,-44.597382,64.475029,39.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-95.311081,-70.258850,64.854080,39.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-47.968475,-35.271667,54.057224,39.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-94.498070,-60.876251,58.996975,39.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-93.861183,-60.512817,73.155449,39.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-55.253178,-22.138561,69.303680,39.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-44.658173,-36.036316,77.023651,39.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-55.253178,-22.138561,69.303680,39.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-93.861183,-60.512817,73.155449,39.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-94.349136,-52.940174,67.120796,39.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-82.923004,104.766327,42.698807,32.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-88.382484,106.545837,57.632912,32.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-74.021759,93.136902,55.909554,32.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-113.056023,148.205780,42.577553,32.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-108.278984,146.648743,29.510212,32.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-103.553009,155.658905,37.663879,32.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-91.088608,120.376251,60.352516,32.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-80.893478,110.674973,71.663765,32.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-88.382484,106.545837,57.632912,32.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-82.216949,117.484589,36.084595,32.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-82.923004,104.766327,42.698807,32.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-67.927208,106.448669,36.195274,32.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-67.967056,143.436523,52.129463,32.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-77.365433,130.050613,66.359299,32.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-79.244781,141.933044,48.185799,32.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-67.967056,143.436523,52.129463,32.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-79.244781,141.933044,48.185799,32.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-67.128906,126.714066,38.357857,32.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-65.535210,122.166275,74.837677,32.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-48.974297,129.333099,60.753181,32.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-39.248299,113.166641,66.235069,32.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-53.251381,118.162415,41.235947,32.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-39.248299,113.166641,66.235069,32.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-48.974297,129.333099,60.753181,32.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
